"","CNT","CNTSCHID","CNTSTUID","STRATUM","MeanCrtScore","MeanMthScore","MeanReadScore","MeanSciScore"
"1846","Philippines",60800133,60801943,"PHL - stratum 04: REGION 4A",22.66,377.2163,399.4225,410.6741
"1847","Philippines",60800185,60801946,"PHL - stratum 14: NCR",22.73,343.759,360.0122,357.7778
"1848","Philippines",60800162,60801947,"PHL - stratum 02: REGION 2",7.21,327.5388,352.8787,363.5627
"1849","Philippines",60800040,60801948,"PHL - stratum 07: REGION 6",0.65,269.6009,222.2289,298.1342
"1850","Philippines",60800107,60801949,"PHL - stratum 03: REGION 3",5.46,291.3881,242.309,281.7972
"1851","Philippines",60800104,60801950,"PHL - stratum 10: REGION 9",28.47,367.3214,351.1911,339.5804
"1852","Philippines",60800014,60801951,"PHL - stratum 04: REGION 4A",8.04,299.5029,291.2826,333.7441
"1853","Philippines",60800169,60801952,"PHL - stratum 06: REGION 5",4.54,317.866,300.671,323.609
"1854","Philippines",60800110,60801953,"PHL - stratum 05: REGION 4B",28.59,440.2468,427.4751,431.2472
"1855","Philippines",60800041,60801954,"PHL - stratum 14: NCR",14.48,393.949,412.3109,457.6994
"1856","Philippines",60800097,60801955,"PHL - stratum 15: CAR",29.27,512.1013,507.4278,497.7869
"1857","Philippines",60800162,60801956,"PHL - stratum 02: REGION 2",14.13,367.6221,336.7115,359.3188
"1858","Philippines",60800092,60801957,"PHL - stratum 04: REGION 4A",44.94,428.5165,456.0173,451.6788
"1859","Philippines",60800027,60801958,"PHL - stratum 07: REGION 6",5.48,317.4404,298.0144,305.2462
"1860","Philippines",60800101,60801959,"PHL - stratum 06: REGION 5",1.27,286.4907,253.4127,227.9861
"1861","Philippines",60800176,60801960,"PHL - stratum 09: REGION 8",0.81,278.9945,243.9434,251.7569
"1862","Philippines",60800176,60801961,"PHL - stratum 09: REGION 8",4.52,299.2776,255.2666,275.8513
"1863","Philippines",60800114,60801962,"PHL - stratum 03: REGION 3",3.6,338.0273,291.6481,280.9885
"1864","Philippines",60800011,60801963,"PHL - stratum 08: REGION 7",3.88,289.6333,259.6294,266.9825
"1865","Philippines",60800070,60801964,"PHL - stratum 04: REGION 4A",26.64,426.2358,454.2824,436.9318
"1866","Philippines",60800109,60801965,"PHL - stratum 09: REGION 8",10.52,363.7607,370.7335,385.1435
"1867","Philippines",60800043,60801966,"PHL - stratum 14: NCR",46.05,482.2792,558.8595,546.7299
